(-256.0, -384.0, -16.0)
(-256.0, -256.0, 16.0)
(-256.0, -256.0, -16.0)
(-256.0, -384.0, -16.0)
(-256.0, -384.0, 16.0)
(-256.0, -256.0, 16.0)
(-256.0, -384.0, 16.0)
(-128.0, -384.0, -16.0)
(-128.0, -384.0, 16.0)
(-256.0, -384.0, 16.0)
(-256.0, -384.0, -16.0)
(-128.0, -384.0, -16.0)
(-256.0, -384.0, -16.0)
(-128.0, -256.0, -16.0)
(-128.0, -384.0, -16.0)
(-256.0, -384.0, -16.0)
(-256.0, -256.0, -16.0)
(-128.0, -256.0, -16.0)
(-256.0, -256.0, 16.0)
(-128.0, -384.0, 16.0)
(-128.0, -256.0, 16.0)
(-256.0, -256.0, 16.0)
(-256.0, -384.0, 16.0)
(-128.0, -384.0, 16.0)
(-256.0, -256.0, -16.0)
(-128.0, -256.0, 16.0)
(-128.0, -256.0, -16.0)
(-256.0, -256.0, -16.0)
(-256.0, -256.0, 16.0)
(-128.0, -256.0, 16.0)
(-128.0, -384.0, 16.0)
(-128.0, -256.0, -16.0)
(-128.0, -256.0, 16.0)
(-128.0, -384.0, 16.0)
(-128.0, -384.0, -16.0)
(-128.0, -256.0, -16.0)
(-672.0, 64.0, -16.0)
(-672.0, 336.0, 16.0)
(-672.0, 336.0, -16.0)
(-672.0, 64.0, -16.0)
(-672.0, 64.0, 16.0)
(-672.0, 336.0, 16.0)
(-672.0, 64.0, 16.0)
(-128.0, 64.0, -16.0)
(-128.0, 64.0, 16.0)
(-672.0, 64.0, 16.0)
(-672.0, 64.0, -16.0)
(-128.0, 64.0, -16.0)
(-672.0, 64.0, -16.0)
(-128.0, 336.0, -16.0)
(-128.0, 64.0, -16.0)
(-672.0, 64.0, -16.0)
(-672.0, 336.0, -16.0)
(-128.0, 336.0, -16.0)
(-672.0, 336.0, 16.0)
(-128.0, 64.0, 16.0)
(-128.0, 336.0, 16.0)
(-672.0, 336.0, 16.0)
(-672.0, 64.0, 16.0)
(-128.0, 64.0, 16.0)
(-672.0, 336.0, -16.0)
(-128.0, 336.0, 16.0)
(-128.0, 336.0, -16.0)
(-672.0, 336.0, -16.0)
(-672.0, 336.0, 16.0)
(-128.0, 336.0, 16.0)
(-128.0, 64.0, 16.0)
(-128.0, 336.0, -16.0)
(-128.0, 336.0, 16.0)
(-128.0, 64.0, 16.0)
(-128.0, 64.0, -16.0)
(-128.0, 336.0, -16.0)
(-1024.0, -256.0, -16.0)
(-1024.0, 64.0, 16.0)
(-1024.0, 64.0, -16.0)
(-1024.0, -256.0, -16.0)
(-1024.0, -256.0, 16.0)
(-1024.0, 64.0, 16.0)
(-1024.0, -256.0, 16.0)
(-128.0, -256.0, -16.0)
(-128.0, -256.0, 16.0)
(-1024.0, -256.0, 16.0)
(-1024.0, -256.0, -16.0)
(-128.0, -256.0, -16.0)
(-1024.0, -256.0, -16.0)
(-128.0, 64.0, -16.0)
